rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,category,aesthetic_score,is_disruptive,phase
5,A little over $1 a pack,"At a little over $1 a pack, this is an excellent price for what you get. Just shy of $15 for 12 excellent masks is a steal. Most face masks that dry out your skin fall around the same price, but these actually restore and calm without drying. The masks fit nicely, not too small and not too large. They are unscented which is glorious because I can't stand a mask that smells like perfume while trying to relax. The aloe is really calming and you feel well hydrated overnight. There are multiple styles with two of each and they each have different effects. They don't leave behind a greasy residue at all either. The packaging is also nice, so you can gift these to someone as is or open them and have a spa day at home. I would 100% buy these if you need a new face mask routine.",[],B08MQWJZSG,B08MQWJZSG,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2021-02-15 13:43:27.953,0,False,All Beauty,0.5695523758000001,False,Congruence
3,Nothing fancy...,"These bombs are not terribly fancy for what you get. Very little scent, however they don't stain the tub. It's difficult to say these are worth anything more than 3 stars though because the scents just isn't there. What scent there is doesn't match what they are. You also don't know what kind they are because there is no scent listed on the label or box. Too plain to get excited about.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81RPMM6Y+SL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81RPMM6Y+SL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81RPMM6Y+SL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08P9MP7L8,B08P9MP7L8,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2021-02-27 16:15:16.864,1,False,All Beauty,0.45522350710000004,False,Congruence
5,Comes fully assembled!,"For once, this comes with everything already assembled AND comes with scrunchies!  Depending on what kind of hair ties you are using, this could hold anywhere from 8 scrunchies to 50 hair ties. It literally comes fully assembled, ready to be used right out of the box. The scrunchies are cute and functional! All the rage these days with youth. The only thing I notice that is different about this one than others is that it doesn't have the open cylinder at the top. Most of the others have an open top for bobbie pins and clips. However, that is not a negative as it literally is perfectly sized and comes with everything needed. And even better, it's the perfect less than $10 item for birthdays or gifts at $9.99 at the time of review.",[],B08S3B8Y5G,B08S3B8Y5G,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2021-04-14 01:36:13.630,0,False,All Beauty,0.6333937494,True,Congruence
3,"Nope, Nope, and Nope!","Here's the thing; This is a small bag at an extravagant price. When I write a review, it is based on everything including the price. There is no way you will catch me buying this at $34 for a ONE TIME USE bag. If this was less than $10, it would be great. You use the entire bag and try to relax. It's like a detox in a way. But, it's not worth the price point. It comes with a stone inside ""yay!"". Still not worth $34. It's epsom salts with some essential oils and moisturizing oils. That's great and all, but have we forgot that it is still a one time use bag that costs more than buying the ingredients and making them yourself? Especially since I didn't notice a difference compared to other similar packaged salts. Smells lovely, but not worth the price.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61fR5UNk97L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61fR5UNk97L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61fR5UNk97L._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07Y2WSGVW,B07Y2WSGVW,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2021-04-23 17:53:08.542,0,False,All Beauty,0.4740848735,False,Congruence
5,Works For My Crocheting,"I probably use this for a different purpose than those who typically order, but I needed something to display my fiber arts on and this was the perfect size for what I need. The mannequin comes without a wig, but I had one on hand to make my art more realistic. It's very proportional to a normal head circumference. I like that it has the shoulders so I can use a scarf and hat to show off.<br /><br />For $65 at the time of review, I really can't complain. It's so realistic, that you can use it as a display or you can use it to train yourself I'm hair. It even has a spot for earrings too. Overall, I have zero complaints. It stands perfectly because of the size and shape. It has a good base. Whether it is for hair design or a display, this will work well!","[{'small_image_url': 'https://m.media-amazon.com/images/I/9168p+pm7vL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/9168p+pm7vL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/9168p+pm7vL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/91XNhnVjftL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/91XNhnVjftL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/91XNhnVjftL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/91qC-1mAACL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/91qC-1mAACL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/91qC-1mAACL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B0998BD871,B0998BD871,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2021-09-25 17:29:53.676,0,False,All Beauty,0.6476803240000001,True,Congruence
4,Does The Job; Could Be Cheaper,"While this is a decent costume, it doesn't take much creativity to put it together and comes at a somewhat high price tag. It's $35 at the time of review, which comes with the shirt, wig, wig cap, guitar, and hat. None of it is overly amazing. The hat is pretty cheap while the others are as expected. The shirt is probably the best. Turns out, it's a little more than cotton. It's nice and stretchy. It does fit true to size unlike most tee shirts these days. The mullet looks decent, although you don't need a wig cap for it. It stays on just fine without it. It will make an easy, but somewhat cheap costume if you are in a bind. That said, it does the job.","[{'small_image_url': 'https://m.media-amazon.com/images/I/614WwJN-ndL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/614WwJN-ndL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/614WwJN-ndL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B09XF5772H,B09XF4WD3V,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2022-06-10 01:10:10.648,0,False,,0.47064269670000003,False,Congruence
3,The colors are cute,"I absolutely LOVE the colors and designs. My ONLY con is the band is so damn tight I had to push it back past my edges and stretch it out a few times in order for it not to be so tight, and even then it’s still tight. But the colors are cute😩",[],B07SR2JJL7,B07SR2JJL7,AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,2020-01-11 17:33:03.003,0,True,All Beauty,0.6168871157,True,Congruence
2,Whatever! I’ve had better,I only like the jelly material & the color. It took FOREVEEER to get here. An it is small :( MEH!!!,[],B07WFH2P2B,B07WFH2P2B,AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,2020-01-18 02:58:37.019,0,True,All Beauty,0.5167097445000001,False,Congruence
5,I love this scent,I looooove this perfume!! I originally found this at 5 below and was soooo happy amazon had a bigger bottle! Love Love Love,[],B01ETXZAXK,B01ETXZAXK,AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,2020-09-30 05:18:50.610,0,True,All Beauty,0.6291506669,True,Congruence
3,Meh...,I was sort of disappointed in the size!! It’s really small.,[],B00XJGJO1I,B00XJGJO1I,AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,2020-11-10 04:11:51.363,0,True,All Beauty,0.42014621820000003,False,Congruence
2,Smh,I’ve had better wigs from Amazon!! Way to fake looking! The part was so horrible,[],B08SC7FHWY,B08SC7FHWY,AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,2021-04-07 22:30:20.693,4,True,All Beauty,0.4286076448,False,Congruence
5,My fav,My favorite eyebrow pencil. I use these on my brows I’ve been using this for like 3 years now!,[],B01KD8ANOG,B01KD8ANOG,AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,2021-04-07 22:32:03.272,1,True,All Beauty,0.5614778579,False,Congruence
3,Meh,There just okay a little to short for my liking.,[],B09JZNQDSH,B09JZNQDSH,AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,2021-12-13 04:46:42.495,0,True,All Beauty,0.4349602862,False,Congruence
1,Not consistent hair,"I purchsed this hair 2 times, the firat order was great. The most recent purchase was horrible I literally only could use 1 of the two pack. The eyes where you latch tgge hooks were so large on most of these that could not use them. Total waste of money and time.<br /><br />I'll use another company going forward.",[],B07216GPNS,B07216GPNS,AE2CVCNCDLMNEBC6XZLMTHJTYEXA,2019-07-13 05:00:39.278,1,True,All Beauty,0.43572871890000003,False,Baseline
1,Not consistent hair,"I purchsed this hair 2 times, the firat order was great. The most recent purchase was horrible I literally only could use 1 of the two pack. The eyes where you latch tgge hooks were so large on most of these that could not use them. Total waste of money and time.<br /><br />I'll use another company going forward.",[],B07216GPNS,B07216GPNS,AE2CVCNCDLMNEBC6XZLMTHJTYEXA,2019-07-13 05:00:39.278,1,True,All Beauty,0.43572871890000003,False,Baseline
2,"Nice cape, weird closure",The cape itself is nice however it is so hard to make the connection close that I find myself not using this cape at all. if they were to replace the closure it would be perfect but until then I must rate it low.,[],B07YD5WC45,B07YD5WC45,AE2CVCNCDLMNEBC6XZLMTHJTYEXA,2021-11-19 19:56:06.227,0,True,All Beauty,0.4261242203,False,Baseline
2,"Nice cape, weird closure",The cape itself is nice however it is so hard to make the connection close that I find myself not using this cape at all. if they were to replace the closure it would be perfect but until then I must rate it low.,[],B07YD5WC45,B07YD5WC45,AE2CVCNCDLMNEBC6XZLMTHJTYEXA,2021-11-19 19:56:06.227,0,True,All Beauty,0.4261242203,False,Baseline
1,Crappy for sure,This is the most sorry piece of hair I have ever seen. I don't  care how cheap it is save your money and buy something else.,[],B09NDHDB4H,B09NDHDB4H,AE2CVCNCDLMNEBC6XZLMTHJTYEXA,2022-04-10 20:45:34.601,0,True,All Beauty,0.4707540612,False,Baseline
1,Crappy for sure,This is the most sorry piece of hair I have ever seen. I don't  care how cheap it is save your money and buy something else.,[],B09NDHDB4H,B09NDHDB4H,AE2CVCNCDLMNEBC6XZLMTHJTYEXA,2022-04-10 20:45:34.601,0,True,All Beauty,0.4707540612,False,Baseline
5,Great gift bag add on,These are very cute and very easy to add some more decorations to make them more personalized and or themed. The scrunchies being satan were very nice.,[],B0BDYYM9M5,B0BDYXW42R,AE2ED6WSUDMW3NGBDG4NWQCYNOMQ,2022-11-13 21:58:44.626,0,False,,0.537086301,False,Utilitarian
4,Great after sauna or hot bath,"This is so nice at helping close and tighten your pores after getting out of the sauna or nights you have a soak in the hot tub or your own tub to relax. Not only does it help the effects of your skin and pores it’s just refreshing that cooking effect it instantly provides. Haven’t added any fruits or herbs just water, that’s all I need for it to have a effect with major results",[],B0BLV89RLQ,B0BLV89RLQ,AE2ED6WSUDMW3NGBDG4NWQCYNOMQ,2023-01-16 15:58:16.473,0,False,All Beauty,0.5734333308,False,Utilitarian
4,Building up nail station,I just recently got into gel polishes the shine and how well the color holds up I love. This is a great addition to add to my nail station to be up to date on what’s new and needed. The extra pieces were a nice addition and they help even more to remove all color,[],B0BR96M4Y8,B0BR96M4Y8,AE2ED6WSUDMW3NGBDG4NWQCYNOMQ,2023-01-31 13:48:54.225,0,False,All Beauty,0.6602969373,True,Congruence
4,Absorbed fast,"This went on easy and just absorbed in the skin, some I have to let dry before being able to apply another product or put on my clothes because of any transferring. This you could apply and it was instantly dried but hydrated. Needed to use a little more then I normally do and like the push down top",[],B0BSHDZS1J,B0BSHDZS1J,AE2ED6WSUDMW3NGBDG4NWQCYNOMQ,2023-01-31 22:20:58.937,0,False,All Beauty,0.5972454674000001,False,Congruence
4,Silky smooth,"Color was even and a pretty easily blend able color black, easy to just apply straight from packaging. Soft silky silky smooth hair. Added length and not lots of volume so you couldn’t tell where it had been added in. Styled easy with heat so the ends would curl under",[],B0BRXKNKDN,B0BSV97728,AE2ED6WSUDMW3NGBDG4NWQCYNOMQ,2023-02-06 14:02:20.786,0,False,,0.6236025338,True,Congruence
5,Beautiful & Versatile,"So happy I added this to my headscarf collection. I got the black one but am definitely eyeing up the champagne, brown, and yellow! The fabric is so soft and I love the pleated design. It's pretty long, which allows so many styles to be worn! It could even work as a scarf around your neck! Very versatile.",[],B08CXWTK1G,B08CXWTK1G,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2020-07-30 14:27:29.066,18,False,All Beauty,0.6019637601,True,Congruence
5,Dewy Moisturizing Finish,"I'm a fan of this face oil. I find that I can only really use it as part of my nighttime skincare routine, as the finish is...well...oily. I have another face oil that I use in the morning that has more of a matte finish so I'm not shining all throughout the day. That being said, this oil is not bad. It just leaves you very shiny!<br /><br />It has a great floral smell and just 2-3 drops is enough to cover your face/neck.",[],B08DX6B4QN,B08DX6B4QN,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2020-10-09 15:12:32.778,0,False,All Beauty,0.6046646437000001,True,Congruence
3,Scent Is Not For Me,"Oof! I just can't get over the smell of this one. It could be a scent that others may find pleasurable, but not me. I can't find a specific smell it reminds me of...but think a deep nutty smell mixed with the smell of old leather? The scent dissipates a bit after you rub it into your skin, but it lingers just enough to bother me. But if you are a fan of those deep, woodsy, older scents, this might be for you.<br /><br />I will say, it soaks extremely well into the skin, leaving you with a really nice matte finish that most other oils aren't capable of.",[],B08DXLRTSB,B08DXLRTSB,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2020-10-09 15:18:44.964,0,False,All Beauty,0.5442258508,False,Congruence
5,Smells Amazing / Great Ingredients,I'm so impressed by this natural serum. From the ingredients ... to the consistency & coverage. My skin soaks this right up in my nighttime skincare routine. The scent is amazing with bright floral notes. It's a win for me.,[],B08DX9P6V1,B08DX9P6V1,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2020-10-16 02:07:25.506,0,False,All Beauty,0.6204452352000001,True,Congruence
3,Not The Worst...Not The Best,"These are okay. They are definitely not heavy duty enough if you wear a lot of makeup. I occasionally throw on a little concealer or foundation before remote meetings on ZOOM, so these wipes work for me. However it still takes me about 4 wipes to get that small amount of makeup off.<br /><br />I don't mind the scent, but I don't love it either.<br />Overall, I wouldn't brag about these wipes or go out of my way to recommend them, they're just okay.",[],B0851T7HDS,B0851T7HDS,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2020-11-04 02:20:31.518,0,False,All Beauty,0.510068454,False,Congruence
4,Cute,"This is cute. To me it gives the look of ""threw my hair up to run to the store"". Or just a quick updo. I guess you could dress it up with the hoop earrings it came with...But it's cute! The hair does have a slightly synthetic look to it...but it is synthetic, so what do you expect?",[],B08L4T1L7G,B08L4T1L7G,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2020-11-29 21:08:16.474,0,False,All Beauty,0.6506705844,True,Congruence
4,Not Bad! Love the Eye Mask,"I really love this eye mask. I keep mine in the freezer and have used it before virtual meetings or just before going out for the day to reduce the puffiness under my eyes. While the puffiness isn't 100% just magically gone, the mask definitely helps. It's also great for just putting you at ease for a bit. The roller, however, I am not the biggest fan of. For some reason when I cool it in the freezer, the roller literally freezes and no longer rolls unless I'm *really* applying pressure. I guess the roller is meant to be used on your back or legs, not your face. But overall, pretty satisfied!",[],B08JHVTK2N,B08JHVTK2N,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2021-03-07 23:15:17.911,0,False,All Beauty,0.5663141427,False,Congruence
4,Wish it smelled more like tea tree oil,"I just wish this had more of a Tea Tree scent! I use Tea Tree Oil on my face and hair & love the benefits of it while equally loving the scent. I find that this particular body wash doesn't have the scent I love. My very first thought upon using it was that it smelled like a dog shampoo. And I don't mean that to be negative, as I still use it and continue to. It just smells more chemical than herbal, for my particular sense of smell. But I do like that it squeezes out as a lather and is super convenient to use in the shower. I wouldn't order it again but can see why someone else would! I say, give it a shot and see what you think.",[],B08WHBSK6R,B08WHBSK6R,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2021-03-26 03:33:19.715,0,False,All Beauty,0.5166957863,False,Congruence
5,No Complaints!,"This cleanser is so smooth and silky on my face. It has a *very* faint citrusy scent, which I like as it's not overbearing at all. I am using this every morning before I put on my moisturizer and spf and have no complaints! Great ingredients list as well.",[],B08TR1MKHD,B08TR1MKHD,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2021-05-21 00:57:31.218,0,False,All Beauty,0.6989674096,True,Congruence
4,"No Marks, Small Elastic","This is a decent bonnet. The strap is about half the size of the actual space its allotted in the picture (the size of the logo tag), so it can defintey tangle inside. I haven't had that issue yet, but it's just something I noticed. It doesnt leave a mark on the forehead overnight, which is good. I will use this as my ""errands bonnet"".",[],B08XYTTRPL,B08XYTTRPL,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2021-05-24 02:53:40.291,0,False,All Beauty,0.571605444,False,Congruence
4,Large w/ a Powerful Stream,"This water flosser is particularly large, so if you have limited counter space...keep that in mind. It comes with several different flosser heads, which is great. I have very sensitive teeth, so I have to make sure I put in warm (almost hot) water, or it will have my teeth aching for hours! The pressure is very strong, even just on normal. I go between using Normal & Soft to get the job done. I think the design is fine, the flosser attachment rotates, however I just rotate the entire body in my hand. The rotating flosser seems pretty unnecessary. Overall, a decent flosser.",[],B09DYL2V3R,B09DYL2V3R,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2021-12-23 19:00:16.537,0,False,All Beauty,0.447522813,False,Congruence
5,Great!!,"This primer reminds me of aloe vera...to give you a sense of its consistency. It smooths onto the skin very nicely and leaves my face moisturized and ready for product. Some days I don't use primer, just because I'm rushing...and I'll say I don't necessarily notice a huge difference between using this and not. My makeup typically goes on similarly with or without this. So is this primer necessary? Not for me. But does it work? Absolutely..and it's lightweight!",[],B083QP6MX4,B083QP6MX4,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2022-05-04 23:29:27.233,0,False,All Beauty,0.6851261842,True,Congruence
5,"Confusing Application, but Great Ingredients","I'm a bit confused by this. Sometimes when you pump, just the pink side comes out...then white. Then sometimes they both come out together in one pump. Are you supposed to smooth the pink on, then white? Both at the same time? Does it matter? Not too sure. However this has a very faint feminine scent to it and leaves my skin feeling deeply moisturized. I only use at night, as it is a bit too heavy for day use (for me). But it has undeniably amazing ingredients! I'll be sad when I'm all out of this!",[],B0B4JPGX8P,B0B4JPGX8P,AE2IGWDKOWONDB3FQFX3STYGWCNQ,2022-08-26 15:16:19.702,0,False,All Beauty,0.6014580541,True,Congruence
